Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,40,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,35,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.7% AOS, 6% APG, 0.8% CapB (AOS 263)",,,,,,concentrate is slightly cloudy at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,35,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,30,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,21-Mar,,26.25,small-medium bubbles,*, , , , ,,,,,,,,,,,,,,,,,,,,,,,
Day 5,24-Mar,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.5% AOS, 10% APG, 0.5% CapB, 0.4% LBHP (AOS 262)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,45,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,40,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,21-Mar,,37.5,small-large bubbles - discontinued,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.7% AOS, 8% APG, 0.8% CapB (AOS 264)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,47.5,"Small compact foam, surfactant like foam after 3h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,40,surfactant like foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.7% AOS, 10% APG, 0.8% CapB (AOS 265)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,19-Mar,,45,"Small compact foam, surfactant like foam after 3h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,20-Mar,,37.5,surfactant like foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.5% AOS, 8% APG, 0.8% CapB (AOS 267)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Mar,,42.5,Small compact foam ,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,21-Mar,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,24-Mar,,27.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.5% AOS, 6% APG, 0.8% CapB (AOS 266)",,,,Unstable RT,,concentrate is unstable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Mar,,41.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.5% AOS, 10% APG, 0.8% CapB (AOS 268)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,20-Mar,,45,"Small compact foam, surfactant like foam after 3h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6% APG, 0.8% CapB (AOS 245)",,,,,,Concentrate is unstable at 4C,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,36.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,33.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,30,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,30,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,26.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,23.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,02-Apr,,21.7,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1% AOS, 10% APG, 0.5% CapB, 0.2% LBHP (AOS 256)",,,,,,concentrate is stable at 8C,,concentrate is stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,36.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,33.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,28.75,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,27.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,25,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,20,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,20,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% LBHP (AOS 260)",,,,,,concentrate is stable at 8C,,concentrate is stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,37.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,35,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,32.5,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,31.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,30,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.7% AOS, 6% APG, 0.8% CapB (AOS 263)",,,,,,concentrate is stable at 8C,,Concentrate is unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,37.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,31.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,25,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,6.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 1.5% AOS, 8% APG, 0.8% CapB (AOS 267)",,,,,,concentrate is stable at 8C,,concentrate is stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,45,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,35,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,30,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,27.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,11.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% HS, % Citric, % AOS, % APG, % CapB (Pilot 3)",,,,,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,37.5,"Small bubbles, slightly airy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,36.75,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,33.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,26.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,18.75,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,18.75,very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% HS, % Citric, % AOS, % APG, % CapB (Pilot 4 New APG)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,45,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,37.5,"Small bubbles, slightly airy",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,33.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,28-Mar,,32.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Mar,,10,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,01-Apr,,10,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% CS50 (AOS 270)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% MB (AOS 271)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% DM (AOS 269)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,42.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% 1C (AOS 273)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,42.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.2% CS50 (AOS 275)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.2% MB (AOS 276)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.4% SC (AOS 272)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,46.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,larger foam structure than pilot after 3h ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.2% 1C (AOS 278)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,50,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.5% CapB, 0.2% DM (AOS 274)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% CS50 (AOS 280)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,41.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,surfactant like foam after 3h,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% MB (AOS 281)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,35,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,larger foam structure than pilot after 3h ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 10% APG, 0.2% CapB, 0.4% SC (AOS 277)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,45,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,larger foam structure than pilot after 3h ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% DM (AOS 279)",,,,,,concentrate is stable at 8C,,concentrate is stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,43.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,37.5,"Small bubbles, airy, no improvement from pilot",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,33.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,30,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% 1C (AOS 283)",,,,Unstable RT,,concentrate is stable at 8C,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,40,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,larger foam structure than pilot after 3h ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.5% CapB, 0.4% SC (AOS 282)",,,,,,concentrate is stable at 8C,,concentrate is stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Mar,,40,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,25-Mar,,31.75,"Small bubbles, airy, no improvement from pilot",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,26-Mar,,28.75,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Mar,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6.5% APG, 0.75% CapB (AOS 308)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,32.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,30,Small bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,23.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,02-Apr,,17.5,Very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 1.7% AOS, 6.5% APG, 0.75% CapB (AOS 309)",,,,Unstable RT,,stable at 8C,,unstable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,31.75,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,28.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,26.75,small-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 8% APG, 0.75% CapB (AOS 311)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,37.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,30,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,25,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,23.75,large bubbles,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,02-Apr,,22.5,Very large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 1.7% AOS, 6.5% APG, 0.7% CapB (AOS 312)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Mar,,42.5,Small compact foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,27-Mar,,37.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,28-Mar,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,31-Mar,,30,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-Apr,,30,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,02-Apr,,28.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 9% Citric, 1.5% AOS, 8.5% APG, 0.8% CapB (AOS 314)",,,,,,stable at 8C,,stable at 4C,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
